Volatility 3 Framework 2.26.2

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created
0x840e993d0010	TCPv4	10.20.20.23	50155	23.211.124.202	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:46.000000 UTC
0x840e9952fb20	TCPv4	10.20.20.23	50150	204.79.197.203	443	CLOSED	4236	SearchApp.exe	2025-03-12 16:51:45.000000 UTC
0x840e99563320	TCPv4	10.20.20.23	59297	13.107.213.254	443	CLOSE_WAIT	9288	SearchApp.exe	2025-03-17 17:07:21.000000 UTC
0x840e9957d270	TCPv4	10.20.20.23	58252	54.67.68.88	443	ESTABLISHED	4	System	2025-03-13 15:03:17.000000 UTC
0x840e995d9560	TCPv4	10.20.20.23	50163	23.194.127.43	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:48.000000 UTC
0x840e99698a20	TCPv4	10.20.20.23	50169	23.194.127.11	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:49.000000 UTC
0x840e9969d930	TCPv4	10.20.20.23	59843	13.107.9.158	443	ESTABLISHED	9288	SearchApp.exe	2025-03-17 17:26:12.000000 UTC
0x840e9972db00	TCPv4	10.20.20.23	59861	13.107.21.239	443	ESTABLISHED	9016	msedge.exe	2025-03-17 17:26:33.000000 UTC
0x840e9972fb50	TCPv4	10.20.20.23	59431	23.45.84.152	443	CLOSE_WAIT	9092	SearchApp.exe	2025-03-17 17:15:01.000000 UTC
0x840e99743a20	TCPv4	10.20.20.23	50170	23.194.127.11	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:49.000000 UTC
0x840e997c8010	TCPv4	10.20.20.23	59361	20.150.78.196	443	CLOSED	9092	SearchApp.exe	2025-03-17 17:12:52.000000 UTC
0x840e99827270	TCPv4	10.20.20.23	50161	23.217.9.16	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:48.000000 UTC
0x840e99c10b60	TCPv6	fe80::ed2b:e322:d23f:739c	445	fe80::c05a:589f:16e6:1690	50692	ESTABLISHED	4	System	2025-03-17 17:01:17.000000 UTC
0x840e99c11a20	TCPv4	10.20.20.23	50168	23.194.127.11	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:49.000000 UTC
0x840e99cb76e0	TCPv4	10.20.20.23	59879	35.86.58.69	80	CLOSED	14536	spoolsv.exe	2025-03-17 17:27:04.000000 UTC
0x840e99d24050	TCPv4	10.20.20.23	50160	23.217.9.16	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:48.000000 UTC
0x840e99d64b60	TCPv4	10.20.20.23	59867	35.86.58.69	80	CLOSED	14536	spoolsv.exe	2025-03-17 17:26:39.000000 UTC
0x840e99d66520	TCPv4	10.20.20.23	59329	35.86.58.69	4444	CLOSED	14536	spoolsv.exe	2025-03-17 17:12:10.000000 UTC
0x840e9ad23170	UDPv4	127.0.0.1	60255	*	0		15568	SenseNdr.exe	2025-03-17 17:01:18.000000 UTC
0x840e9ad23300	UDPv4	127.0.0.1	60253	*	0		15568	SenseNdr.exe	2025-03-17 17:01:18.000000 UTC
0x840e9ad23490	UDPv4	0.0.0.0	60258	*	0		15568	SenseNdr.exe	2025-03-17 17:01:18.000000 UTC
0x840e9ad237b0	UDPv4	0.0.0.0	0	*	0		15172	powershell.exe	2025-03-17 17:08:10.000000 UTC
0x840e9ad24110	UDPv4	0.0.0.0	0	*	0		15172	powershell.exe	2025-03-17 17:08:10.000000 UTC
0x840e9ad24110	UDPv6	::	0	*	0		15172	powershell.exe	2025-03-17 17:08:10.000000 UTC
0x840e9ad242a0	UDPv4	127.0.0.1	60245	*	0		15568	SenseNdr.exe	2025-03-17 17:01:17.000000 UTC
0x840e9ad24430	UDPv4	0.0.0.0	60256	*	0		15568	SenseNdr.exe	2025-03-17 17:01:18.000000 UTC
0x840e9ad245c0	UDPv4	127.0.0.1	60257	*	0		15568	SenseNdr.exe	2025-03-17 17:01:18.000000 UTC
0x840e9ad248e0	UDPv4	0.0.0.0	60250	*	0		15568	SenseNdr.exe	2025-03-17 17:01:17.000000 UTC
0x840e9ad24d90	UDPv4	0.0.0.0	0	*	0		15172	powershell.exe	2025-03-17 17:08:10.000000 UTC
0x840e9ad25560	UDPv4	0.0.0.0	60248	*	0		15568	SenseNdr.exe	2025-03-17 17:01:17.000000 UTC
0x840e9ad256f0	UDPv4	127.0.0.1	60251	*	0		15568	SenseNdr.exe	2025-03-17 17:01:17.000000 UTC
0x840e9ad25880	UDPv4	0.0.0.0	60252	*	0		15568	SenseNdr.exe	2025-03-17 17:01:17.000000 UTC
0x840e9ad25a10	UDPv4	127.0.0.1	60247	*	0		15568	SenseNdr.exe	2025-03-17 17:01:17.000000 UTC
0x840e9ad25ba0	UDPv4	0.0.0.0	60254	*	0		15568	SenseNdr.exe	2025-03-17 17:01:18.000000 UTC
0x840e9ad26050	UDPv4	0.0.0.0	60246	*	0		15568	SenseNdr.exe	2025-03-17 17:01:17.000000 UTC
0x840e9ad261e0	UDPv4	127.0.0.1	60249	*	0		15568	SenseNdr.exe	2025-03-17 17:01:17.000000 UTC
0x840e9ad26cd0	UDPv4	0.0.0.0	0	*	0		12008	svchost.exe	2025-03-17 17:26:47.000000 UTC
0x840e9ad26cd0	UDPv6	::	0	*	0		12008	svchost.exe	2025-03-17 17:26:47.000000 UTC
