Volatility 3 Framework 2.26.2

Offset(Virtual)	Name	PID	pslist	psscan	thrdscan	csrss	Exit Time
0x840e92fc5300	svchost.exe	1976	True	True	True	True	
0x840e9676b300	svchost.exe	2180	True	True	True	True	
0x840e96da9300	svchost.exe	3332	True	True	True	True	
0x840e966b1080	MemCompression	1924	True	True	True	False	
0x840e96e3d080	svchost.exe	3528	True	True	True	True	
0x840e96c61080	svchost.exe	2216	True	True	True	True	
0x840e96e44300	MsMpEng.exe	3540	True	True	True	True	
0x840e975ad080	CSFalconContai	1192	True	True	True	True	
0x840e96e0d080	svchost.exe	3844	True	True	True	True	
0x840e91e84100	userinit.exe	7156	True	True	False	False	2025-03-12 16:41:58+00:00
0x840e97e11080	TextInputHost.	1256	True	True	True	True	
0x840e90de9080	FileCoAuth.exe	8592	True	True	True	True	
0x840e97ea9080	RuntimeBroker.	1832	True	True	True	True	
0x840e9b7bb080	StartMenuExper	8	True	True	True	True	
0x840e9e39b080	msedge.exe	5824	True	True	False	False	2025-03-13 14:42:31+00:00
0x840e978c0300	explorer.exe	5328	True	True	True	True	
0x840e991ec300	svchost.exe	8772	True	True	True	False	2025-03-12 16:43:41+00:00
0x840e9e920080	FileCoAuth.exe	7516	True	True	True	True	
0x840e99581080	svchost.exe	15508	True	True	True	True	
0x840e99a89080	svchost.exe	11756	True	True	True	True	
0x840e97b09080	powershell.exe	15172	True	True	True	True	
0x840e92291140	csrss.exe	888	True	True	True	False	
0x840e92cfa140	dwm.exe	1204	True	True	True	True	
0x840e92c9a340	svchost.exe	1076	True	True	True	True	
0x840e92eac340	svchost.exe	1612	True	True	True	True	
0x840e92f04340	svchost.exe	1652	True	True	True	True	
0x840e91db7340	taskhostw.exe	4428	True	True	True	True	
0x840e90c19340	svchost.exe	3604	True	True	True	True	
0x840e98b8e340	RuntimeBroker.	7612	True	True	True	True	
0x840e96d56340	SenseTVM.exe	1552	True	True	True	True	
0x840e99bcb080	explorer.exe	9852	True	True	True	True	
0x840e9952c080	csrss.exe	10732	True	True	True	False	
0x840e995ea080	OneDrive.exe	11592	True	True	True	True	
0x840ea70570c0	msedge.exe	1336	True	True	True	True	
0x840e9ee430c0	powershell.exe	13156	True	True	True	True	
0x840e90b0d080	svchost.exe	9452	True	True	True	True	
0x840e996e91c0	msedge.exe	9016	True	True	True	True	
